subtype	question	option1	option2	option3	option4	correct	time	square_text
Cell Biology	What is the powerhouse of the cell?	Nucleus	Mitochondria	Ribosome	Golgi apparatus	2	20	100
Cell Biology	Which organelle is responsible for protein synthesis?	Ribosome	Lysosome	Chloroplast	Endoplasmic Reticulum	1	20	200
Cell Biology	The fluid mosaic model describes which structure?	Cell membrane	Nucleus	Cytoplasm	Mitochondria	1	25	300
Cell Biology	What process moves water across a semipermeable membrane?	Diffusion	Osmosis	Active transport	Phagocytosis	2	25	400
Cell Biology	Which structure stores genetic material?	Nucleolus	DNA	Ribosome	Cytoskeleton	2	25	500
Cell Biology	What type of cell lacks a nucleus?	Eukaryotic	Prokaryotic	Plant	Animal	2	30	600
Genetics	Who is considered the father of genetics?	Darwin	Mendel	Watson	Franklin	2	20	100
Genetics	DNA is composed of nucleotides containing what?	Sugars, phosphate, bases	Lipids	Amino acids	Enzymes	1	20	200
Genetics	What is the process of making RNA from DNA?	Translation	Transcription	Replication	Mutation	2	25	300
Genetics	Which type of RNA carries amino acids to ribosomes?	mRNA	tRNA	rRNA	siRNA	2	25	400
Genetics	A heterozygous genotype has how many different alleles?	1	2	3	4	2	25	500
Genetics	What mutation changes a single base in DNA?	Frameshift	Point mutation	Deletion	Duplication	2	30	600
Evolution & Ecology	Who proposed natural selection?	Lamarck	Darwin	Mendel	Watson	2	20	100
Evolution & Ecology	What is the variety of life called?	Adaptation	Biodiversity	Mutation	Ecology	2	20	200
Evolution & Ecology	Which process produces new species?	Speciation	Evolution	Mutation	Gene flow	1	25	300
Evolution & Ecology	An organism’s role in the ecosystem is its what?	Habitat	Niche	Biome	Population	2	25	400
Evolution & Ecology	What type of selection favors intermediate traits?	Stabilizing	Directional	Disruptive	Sexual	1	25	500
Evolution & Ecology	Predator-prey cycles are examples of what?	Population dynamics	Genetic drift	Symbiosis	Natural selection	1	30	600
Physiology	What system transports oxygen in the body?	Nervous	Circulatory	Digestive	Endocrine	2	20	100
Physiology	Which organ produces insulin?	Liver	Pancreas	Kidney	Spleen	2	20	200
Physiology	What type of muscle is involuntary and found in organs?	Skeletal	Smooth	Cardiac	Striated	2	25	300
Physiology	Which plant tissue transports water?	Phloem	Xylem	Epidermis	Cortex	2	25	400
Physiology	Negative feedback loops do what?	Amplify changes	Maintain homeostasis	Cause disease	Increase metabolism	2	25	500
Physiology	The immune system’s primary defense cells are?	Red blood cells	White blood cells	Platelets	Neurons	2	30	600
Biochemistry	What macromolecule stores genetic information?	Carbohydrates	Nucleic acids	Proteins	Lipids	2	20	100
Biochemistry	Enzymes are made of what?	Carbohydrates	Proteins	Lipids	Nucleic acids	2	20	200
Biochemistry	ATP is important because it provides what?	Energy	Oxygen	Electrons	Nutrients	1	25	300
Biochemistry	Which macromolecule forms cell membranes?	Proteins	Carbohydrates	Lipids	Nucleic acids	3	25	400
Biochemistry	What reaction breaks down polymers into monomers?	Hydrolysis	Condensation	Oxidation	Reduction	1	25	500
Biochemistry	The molecule that carries amino acid sequence info is?	tRNA	DNA	RNA	Enzyme	2	30	600
